#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Ability 1,Ability 2,Hidden Ability,FrenchName,EV HP,EV Attack,EV Defense,EV Sp. Atk,EV Sp. Def,EV Speed
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,Overgrow,,Chlorophyll,Bulbizarre,0,0,0,1,0,0
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,Overgrow,,Chlorophyll,Herbizarre,0,0,0,1,1,0
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,Overgrow,,Chlorophyll,Florizarre,0,0,0,2,1,0
4,Charmander,Fire,,309,39,52,43,60,50,65,1,False,Blaze,,Solar Power,Salamèche,0,0,0,0,0,1
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False,Blaze,,Solar Power,Reptincel,0,0,0,1,0,1
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,Blaze,,Solar Power,Dracaufeu,0,0,0,3,0,0
7,Squirtle,Water,,314,44,48,65,50,64,43,1,False,Torrent,,Rain Dish,Carapuce,0,0,1,0,0,0
8,Wartortle,Water,,405,59,63,80,65,80,58,1,False,Torrent,,Rain Dish,Carabaffe,0,0,1,0,1,0
9,Blastoise,Water,,530,79,83,100,85,105,78,1,False,Torrent,,Rain Dish,Tortank,0,0,0,0,3,0
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False,Shield Dust,,Run Away,Chenipan,1,0,0,0,0,0
11,Metapod,Bug,,205,50,20,55,25,25,30,1,False,Shed Skin,,,Chrysacier,0,0,2,0,0,0
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,Compound Eyes,,Tinted Lens,Papilusion,0,0,0,2,1,0
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,Shield Dust,,Run Away,Aspicot,0,0,0,0,0,1
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,Shed Skin,,,Coconfort,0,0,2,0,0,0
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,Swarm,,Sniper,Dardargnan,0,2,0,0,1,0
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,Keen Eye,Tangled Feet,Big Pecks,Roucool,0,0,0,0,0,1
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,Keen Eye,Tangled Feet,Big Pecks,Roucoups,0,0,0,0,0,2
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,Keen Eye,Tangled Feet,Big Pecks,Roucarnage,0,0,0,0,0,3
19,Rattata,Normal,,253,30,56,35,25,35,72,1,False,Run Away,Guts,Hustle,Rattata,0,0,0,0,0,1
20,Raticate,Normal,,413,55,81,60,50,70,97,1,False,Run Away,Guts,Hustle,Rattatac,0,0,0,0,0,2
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,Keen Eye,,Sniper,Piafabec,0,0,0,0,0,1
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,Keen Eye,,Sniper,Rapasdepic,0,0,0,0,0,2
23,Ekans,Poison,,288,35,60,44,40,54,55,1,False,Intimidate,Shed Skin,Unnerve,Abo,0,1,0,0,0,0
24,Arbok,Poison,,448,60,95,69,65,79,80,1,False,Intimidate,Shed Skin,Unnerve,Arbok,0,2,0,0,0,0
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False,Static,,Lightning Rod,Pikachu,0,0,0,0,0,2
26,Raichu,Electric,,485,60,90,55,90,80,110,1,False,Static,,Lightning Rod,Raichu,0,0,0,0,0,3
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False,Sand Veil,,Sand Rush,Sabelette,0,0,1,0,0,0
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False,Sand Veil,,Sand Rush,Sablaireau,0,0,2,0,0,0
29,Nidoran-f,Poison,,275,55,47,52,40,40,41,1,False,Poison Point,Rivalry,Hustle,Nidoran♀,1,0,0,0,0,0
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False,Poison Point,Rivalry,Hustle,Nidorina,2,0,0,0,0,0
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False,Poison Point,Rivalry,Sheer Force,Nidoqueen,3,0,0,0,0,0
32,Nidoran-m,Poison,,273,46,57,40,40,40,50,1,False,Poison Point,Rivalry,Hustle,Nidoran♂,0,1,0,0,0,0
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False,Poison Point,Rivalry,Hustle,Nidorino,0,2,0,0,0,0
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False,Poison Point,Rivalry,Sheer Force,Nidoking,0,3,0,0,0,0
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False,Cute Charm,Magic Guard,Friend Guard,Mélofée,2,0,0,0,0,0
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,False,Cute Charm,Magic Guard,Unaware,Mélodelfe,3,0,0,0,0,0
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,Flash Fire,,Drought,Goupix,0,0,0,0,0,1
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False,Flash Fire,,Drought,Feunard,0,0,0,0,1,1
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,Cute Charm,Competitive,Friend Guard,Rondoudou,2,0,0,0,0,0
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,Cute Charm,Competitive,Frisk,Grodoudou,3,0,0,0,0,0
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,Inner Focus,,Infiltrator,Nosferapti,0,0,0,0,0,1
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,Inner Focus,,Infiltrator,Nosferalto,0,0,0,0,0,2
